scinam_birdtree,Xeno_cantoID,Date,Country,Locality,LAT,LON,Elevation,Recording length,Peak_frequency,Peak_frequency2
Empidonax wrightii,XC412995,2018-04-29,USA," Kinney Creek drainage, Pocatello, Bannock County, Idaho",42.7605,-112.388,1569,68,3273,3273
empidonomus aurantioatrocristatus,XC71204,2011-01-14,Uruguay," Costanera Sur,Salto ciudad",-31.4,-57.979,14,18,9302.3,9302.3
empidonomus aurantioatrocristatus,XC272791,2013-10-22,Argentina,"North-east of Taco Pozo, Chaco",-25.582,-63.235,N/A,117,6201.6,6201.6
Empidonomus varius,XC377064,2009-11-09,Brazil,"rio Casca, Chapada dos Guimarães municipaliity, Mato Grosso State",-15.3512,-55.4578,360,30,7924.2,7924.2
Empidonomus varius,XC118963,2011-08-27,Brazil,"Parauapebas, Para",-6.1802,-50.2968,440,29,6718.4,6718.4
Enicurus immaculatus,XC116354,2012-11-23,India,"Wildgrass Lodge, Golaghat, Assam",26.5949,93.4516,90,35,3445.3,3445.3
Enicurus leschenaulti,XC293737,1994-12-28,Thailand,Doi Inthanon,18.5833,98.4833,2500,19,4651.2,4651.2
Enicurus leschenaulti,XC135990,2012-11-14,Malaysia,"Silau Silau trail, Mount Kinabalu, Sabah, Borneo",6.012,116.5423,1600,25,5340.2,5340.2
Enicurus leschenaulti,XC329778,2015-08-03,Malaysia,"SAFE project, Sabah, Borneo",4.675,117.5784,300,106,5340.2,5340.2
Enicurus leschenaulti,XC86930,2011-03-00,Thailand,Khao Yai,14.4,101.4,500,47,5512.5,5512.5
Enicurus ruficapillus,XC151223,2013-08-31,Malaysia,"Ulu Kenas, Manong, Kuala Kangsar, Perak",4.6858,100.8853,110,43,5684.8,5684.8
Enicurus ruficapillus,XC151454,2013-09-10,Malaysia,"Taman Negara, Pahang",4.3864,102.4017,100,77,5512.5,5512.5
Enicurus ruficapillus,XC290309,2015-07-09,Malaysia,"Danum Valley Field Centre, Danum Valley, Sabah, Borneo",4.9634,117.8028,200,71,5684.8,5684.8
Enicurus ruficapillus,XC317259,2016-05-18,Thailand,"Bang Bon, Khlong Saeng Wildlife Sanctuary, Suratthani Province",9.2513,98.611,110,39,5684.8,5684.8
Enicurus ruficapillus,XC35643,2001-08-00,Malaysia,"Danum Valley Field Centre, Danum Valley, Sabah, Borneo",4.9634,117.8028,N/A,26,5512.5,5512.5
Enicurus schistaceus,XC115646,2012-11-12,Bhutan,"Tingtibi, Zhemgang",27.1507,90.6916,550,13,5857,5857
Enicurus schistaceus,XC115645,2012-11-21,Bhutan,"Narphung, Trashigang",26.9932,91.5198,2100,54,6029.3,6029.3
Enicurus schistaceus,XC295241,2015-02-21,Thailand,"Doi Inthanon National Park, Chiang Mai",18.5084,98.5076,1600,32,5168,5168
Enicurus velatus,XC90815,2009-08-30,Indonesia,"Tapan Road, West Sumatra, Sumatra",-2.0498,101.3073,1100,41,5857,5857
Enicurus velatus,XC204216,2014-09-28,Indonesia,"Gunung Halimun NP, West Java",-6.7461,106.5182,1300,12,6029.3,6029.3
Enicurus velatus,XC40470,2009-07-00,Indonesia,"Gunung Gede National Park, Java",-6.727348,106.97113,1450,19,6201.6,6201.6
Entomodestes coracinus,XC262987,2002-02-20,Ecuador,Carchi: Chilma Alto,0.863,-78.059,2235,20,1894.9,1894.9
Entomodestes coracinus,XC102021,2012-04-22,Colombia,"Montezuma Peak Road, Pueblo Rico, Risaralda, W Andes - Tatama National Park",5.2431,-76.0964,2150,10,1722.7,1722.7
Entomodestes coracinus,XC264773,1996-05-00,Colombia,Nariño: E of Junín,1.333,-78.15,1750,27,1722.7,1722.7
Entomodestes leucotis,XC1588,1992-08-27,Bolivia,"Corani low, Cochabamba",-17.1528,-65.9084,2500-2550,88.6,3445.3,3445.3
Entomodestes leucotis,XC73549,2005-03-12,Bolivia,"Apa-Apa, La Paz, BO",-16.35211111,-67.50783333,2400,52.2,3100.8,3100.8
Entomodestes leucotis,XC45844,2009-11-08,Peru,"Abra Maruncunca, Puno",-14.2334,-69.2834,2050,33.9,3273,3273
Entomodestes leucotis,XC122198,2011-05-17,Peru,"LSU Trail, Bosque de Proteccion Alto Mayo, San Martin",-5.6917,-77.7341,2100,40.6,2756.2,2756.2
Entomodestes leucotis,XC152791,2013-09-30,Peru,"Barbet camp, Ucayali Region",-10.7014,-74.1267,1900,58,3789.8,3789.8
Entomyzon cyanotis,XC279243,1999-07-30,Australia,Queensland: Cape York Peninsula: Daintree NP,-16.25,145.355,35,34,3100.8,3100.8
Entomyzon cyanotis,XC158679,2011-11-05,Australia,"Mary Farms, Queensland",-16.5686,145.183,360,76,2584,2584
Entomyzon cyanotis,XC157204,2013-07-20,Australia,"Hann River Roadhouse, Cape York, Queensland",-15.1886,143.874,80,35,2928.5,2928.5
Entomyzon cyanotis,XC200566,2013-11-27,Australia,"Mount Carbine, Queensland",-16.5353,145.1484,360,32,1894.9,1894.9
Entomyzon cyanotis,XC352331,2016-08-28,Australia,"Maleny, Sunshine Coast Regional, Queensland",-26.7629,152.8483,420,51,2239.5,2239.5
Eophona migratoria,XC61845,2010-06-12,China,Hunan province Yueyang Dong Ting Lake,29.379,113.02,25,16,3273,3273
Eophona migratoria,XC181739,2014-04-12,China,"Jinshitan, Dalian, Liaoning",39.075,121.972,15,14,3273,3273
Eophona migratoria,XC234814,2015-04-09,Japan,"Osaka Castle Park, Osaka Prefecture",34.683,135.5328,10,23,3445.3,3445.3
Eophona migratoria,XC268344,2015-05-27,Russian Federation,"Khasanskiy rayon, Primorskiy kray",42.5275,130.692,130,105,2928.5,2928.5
Eophona migratoria,XC347595,2016-04-15,Taiwan,"Juguang Fort, Kinmen",24.4248,118.3185,20,10,3789.8,3789.8
Eophona personata,XC93923,1997-06-02,Russian Federation,"Alchan R., Primorye",46.586,134.678,300,56,2239.5,2239.5
Eophona personata,XC285703,2015-05-18,Japan,"Karuizawa forest, Nagano Prefecture",36.366424,138.592392,N/A,30,3273,3273
Eophona personata,XC268359,2015-05-19,Russian Federation,"Gornyy Khutor, Chernigovskiy rayon, Primorskiy kray",44.3602,132.7989,180,57,2756.2,2756.2
Eophona personata,XC285809,2015-05-20,Japan,Mount Fuji east side,35.366178,138.78625,N/A,47,3445.3,3445.3
Eophona personata,XC285975,2015-05-24,Japan,Kirishima forest,31.877998,130.892298,N/A,55,3273,3273
Eopsaltria australis,XC155126,2011-10-24,Australia,"Lamington National Park (near O'reilly), Queensland",-28.2287,153.136,900,48,2928.5,2928.5
Eopsaltria australis,XC157517,2011-10-28,Australia,"Eungella Hinterland, Queensland",-20.9453,148.64,750,35,2239.5,2239.5
Eopsaltria australis,XC156415,2011-10-28,Australia,"Calen, Queensland",-20.9449,148.6509,340,42,2067.2,2067.2
Eopsaltria australis,XC97053,2011-12-25,Australia,"Lake Eacham, Atherton Tableland Qld",-17.2839,145.6259,N/A,31,3617.6,3617.6
Eopsaltria australis,XC104874,2010-09-00,Australia,"Mogo Creek, Yengo National Park, New South Wales",-33.1659,151.0648,240,26,3273,3273
eopsaltria flaviventris,XC278994,2015-09-04,France,"Mount Koghis, Dumbéa, Province Sud, New Caledonia",-22.1777,166.5093,500,17,3100.8,3100.8
eopsaltria flaviventris,XC340198,2016-10-22,France,"Parc Provincial de La Riviere bleue, New Caledonia",-22.1103,166.6695,550,52,7062.9,7062.9
Eopsaltria georgiana,XC365132,2017-04-14,Australia,"Crowea, Shire of Manjimup, Western Australia",-34.553,116.1811,170,34,5684.8,5684.8
Eopsaltria griseogularis,XC382795,2017-07-25,Australia,"Tomingley Rd, Dryandra Woodland, Western Australia",-32.7889,116.9448,340,70,2928.5,2928.5
eopsaltria pulverulenta,XC140872,2007-05-15,Indonesia,"Waropen Atas, Papua",-1.6225,137.7301,N/A,50,3100.8,3100.8
eopsaltria pulverulenta,XC38318,2009-07-02,Papua New Guinea,"Brown River area, near Port Moresby",-9.29934,147.154999,5,15,1550.4,1550.4
eopsaltria pulverulenta,XC98284,2011-12-21,Australia,"Mangrove Boardwalk, Cairns Qld",-16.8839,145.7648,N/A,108,2928.5,2928.5
epimachus albertisi,XC167207,2013-08-07,Indonesia,"Arfak Mountain Trek, near Mokwan Village, West Papua >1800m (approx)",-1.1373,133.9118,1600,16,2584,2584
epimachus albertisi,XC409686,2017-09-15,Indonesia,"Syoubri, Arfak Mountains",-1.1113,133.9089,1600,4,2584,2584
epimachus bruijnii,XC140874,2007-05-02,Indonesia,"Waropen Atas, Papua",-1.6225,137.7301,N/A,92,1205.9,1205.9
epimachus bruijnii,XC40400,2009-07-12,Indonesia,"Nimbokrang, Papua, New Guinea",-2.551503,140.650234,N/A,96,1550.4,1550.4
epimachus bruijnii,XC40397,2009-08-04,Indonesia,"Taja, Papua",-2.8792,140.1181,N/A,81,1894.9,1894.9
