scinam_birdtree,Xeno_cantoID,Date,Country,Locality,LAT,LON,Elevation,Recording length,Peak_frequency,Peak_frequency2
Abroscopus albogularis,XC81229,2010-06-26,China,"Hunan province, Bai Yun Zhen",29.494,113.383,150,120.6,4651.2,4651.2
Abroscopus albogularis,XC304200,2013-04-05,China,"Ruoliao, Songyang, Lishui Shi, Zhejiang Sheng",28.3046,119.3033,600,46,4823.4,4823.4
Abroscopus albogularis,XC267896,2014-07-13,China,"hills west of Dujiangyan, Sichuan",30.978,103.5782,800,61.2,4478.9,4478.9
Abroscopus schisticeps,XC49756,2010-03-27,India,Mishmi Hills,28.236582,96.006775,N/A,25,7235.2,7235.2
Abroscopus superciliaris,XC21577,2005-04-30,Indonesia,"Sungai Wain Protection Forest, East Kalimantan, Borneo",-1.1167,116.8167,50,82.8,5168,5168
Abroscopus superciliaris,XC78906,2011-04-11,India,Tea estate near Kaziranga National Park,26.589,93.422,100,42.9,5168,5168
Abroscopus superciliaris,XC100450,2012-03-19,Cambodia,Seima Biodiversity Conservation Area - ONP Trail,12.1239,106.912,130,74.6,4651.2,4651.2
Abroscopus superciliaris,XC126971,2013-01-03,Vietnam,"Cat Tien National Park, Cochinchina",11.3473,107.1501,70,63.2,5168,5168
Abroscopus superciliaris,XC303135,2016-02-09,Thailand,"Khlong Suan, Khlong Saeng Wildlife Sanctuary, Suratthani Province",9.1385,98.6199,110,125.8,4134.4,4134.4
Acanthagenys rufogularis,XC30864,1993-09-03,Australia,"Amphitheatre, Finke Gorge NP, NT",-24.067,132.667,610,25,2756.2,2756.2
Acanthagenys rufogularis,XC40550,2009-10-18,Australia,Nallan Station,-27.455731,117.887421,450,53,2411.7,2411.7
Acanthagenys rufogularis,XC200385,2014-10-11,Australia,"Wyperfeld National Park (near Yaapeet), Victoria",-35.5876,142.0367,80,27,1722.7,1722.7
Acanthagenys rufogularis,XC328684,2016-01-07,Australia,"Eulo Bore, Queensland",-28.1136,145.206,190,80,1894.9,1894.9
Acanthagenys rufogularis,XC366558,2017-04-16,Australia,"Nangar National Park, New South Wales",-33.419,148.5066,460,184,1722.7,1722.7
Acanthidops bairdii,XC271031,2015-03-02,Panama,Sendero los Quetzales (Cerro Punta side),8.848868,-82.541793,N/A,106,6029.3,6029.3
Acanthiza apicalis,XC405495,1997-09-20,Australia,"Collie Burn, Shire of Collie, Western Australia",-33.3945,116.2037,200,22,3445.3,3445.3
Acanthiza apicalis,XC287041,2015-10-15,Australia,"Bowra Station, near Cunnamulla, Queensland",-27.9633,145.5848,200,27,3445.3,3445.3
Acanthiza apicalis,XC334250,2016-09-06,Australia,"Gluepot, South Australia",-33.7548,140.2104,60,24,2239.5,2239.5
Acanthiza apicalis,XC355029,2016-09-15,Australia,"Euabalong, Cobar Shire Council, New South Wales",-32.9667,146.1587,180,36,2239.5,2239.5
Acanthiza ewingii,XC98491,2012-01-05,Australia,"Derwent Bridge, Walls of Jerusalem NP Tas",-42.1348,146.2298,N/A,155,3445.3,3445.3
Acanthiza ewingii,XC204413,2014-11-21,Australia,"Meander, Tasmania",-41.7043,146.5794,460,43,2756.2,2756.2
Acanthiza ewingii,XC370628,2017-04-10,Australia,"Latrobe, Latrobe Council, Tasmania",-41.2619,146.4173,20,12,4478.9,4478.9
Acanthiza chrysorrhoa,XC278416,2015-09-09,Australia,"Richmond, New South Wales",-33.585,150.7869,10,15,3962.1,3962.1
Acanthiza chrysorrhoa,XC40772,2015-10-30,Australia,"Monarto South, South Australia",-35.1707,139.1133,110,100,5684.8,5684.8
Acanthiza chrysorrhoa,XC354591,2016-09-05,Australia,"Bowra Station, near Cunnamulla, Queensland",-27.9633,145.5848,200,36,4306.6,4306.6
Acanthiza chrysorrhoa,XC370629,2017-04-06,Australia,"Quoiba, Devonport City Council, Tasmania",-41.2052,146.3409,30,23,5684.8,5684.8
Acanthiza chrysorrhoa,XC382785,2017-07-25,Australia,"Congelin Dam, Dryandra Woodland, Western Australia",-32.8166,116.8865,280,12,5340.2,5340.2
Acanthiza inornata,XC40640,2009-10-22,Australia,"Stirling Range NP, WA",-34.399828,117.978058,230,36,6373.8,6373.8
Acanthiza inornata,XC382789,2017-07-25,Australia,"Congelin Dam, Dryandra Woodland, Western Australia",-32.8166,116.8865,280,29,3100.8,3100.8
Acanthiza inornata,XC383181,2017-07-31,Australia,"Tomingley Rd, Dryandra Woodland, Western Australia",-32.7889,116.9448,340,39,6546.1,6546.1
Acanthiza iredalei,XC40757,2009-10-30,Australia,"Port Gawler, SA",-34.632996,138.496571,5,78,7062.9,7062.9
Acanthiza katherina,XC98290,2011-12-23,Australia,"Mt Lewis, Atherton Tableland, Qld",-16.5389,145.287,N/A,33,3617.6,3617.6
Acanthiza katherina,XC353441,2017-01-19,Australia,"Mount Lewis National Park, Queensland",-16.5278,145.2791,1100,12,3273,3273
Acanthiza katherina,XC353457,2017-01-23,Australia,"Evelyn, Tablelands Regional, Queensland",-17.4657,145.4891,1200,10,3273,3273
Acanthiza lineata,XC141386,2012-10-20,Australia,"Budderoo, New South Wales",-34.6357,150.7271,160,32,7579.7,7579.7
Acanthiza lineata,XC407724,2015-10-15,Australia,"Mt Ida, Heathcote, Greater Bendigo City, Victoria",-36.8762,144.7073,360,42,7752,7752
Acanthiza pusilla,XC157488,2011-10-25,Australia,"Noosa Heads, Queensland",-26.4154,153.0839,10,55,3445.3,3445.3
Acanthiza pusilla,XC140214,2012-10-16,Australia,"Barren Grounds, New South Wales",-34.6695,150.7112,600,15,4134.4,4134.4
Acanthiza pusilla,XC216859,2015-03-12,Australia," The Australian National University (near Acton), Australian Capital Territory",-35.2755,149.1155,550,30,4306.6,4306.6
Acanthiza pusilla,XC366973,2015-10-13,Australia,"Wirrawilla Rainforest walk, Toolangi, Victoria",-37.5286,145.5195,650,114,3273,3273
Acanthiza pusilla,XC331664,2016-02-22,Australia,"Royal National Park, New South Wales",-34.0881,151.0568,30,27,3617.6,3617.6
Acanthiza reguloides,XC405475,1998-04-22,Australia,"Coominglah Forest, North Burnett Regional, Queensland",-24.8874,150.9657,500,106,5684.8,5684.8
Acanthiza reguloides,XC194937,2007-07-30,Australia,"Wollemi National Park, New South Wales",-32.8898,150.3453,1000,49,5857,5857
Acanthiza reguloides,XC151292,2013-10-15,Australia,"South Gundagai, New South Wales",-35.1024,148.1156,460,12,7235.2,7235.2
Acanthiza reguloides,XC407735,2015-10-14,Australia,"Deniliquin area, New South Wales",-35.5287,144.9589,90,7,6718.4,6718.4
Acanthiza reguloides,XC368543,2017-05-07,Australia,"Wianamatta Nature Reserve, New South Wales",-33.6998,150.7189,40,94,6890.6,6890.6
Acanthiza robustirostris,XC165016,2013-03-19,Australia,"Ularring, Western Australia",-28.7851,119.991,500,70,6373.8,6373.8
Acanthiza uropygialis,XC107923,2012-05-17,Australia,"Quobba Station, Quobba",-24.399,113.404,15,18,4823.4,4823.4
Acanthiza uropygialis,XC286949,2015-10-14,Australia,"Bowra Station, near Cunnamulla, Queensland",-27.9633,145.5848,200,38,3962.1,3962.1
Acanthiza uropygialis,XC334428,2016-08-31,Australia,"Gluepot, South Australia",-33.7544,139.9938,70,31,5340.2,5340.2
Acanthiza uropygialis,XC343749,2016-09-04,Australia,"Cunnamulla, Paroo Shire, Queensland",-27.9687,145.5428,200,56,3273,3273
Acanthorhynchus superciliosus,XC382804,2017-07-25,Australia,"Tomingley Rd, Dryandra Woodland, Western Australia",-32.7889,116.9448,340,65,3100.8,3100.8
Acanthorhynchus superciliosus,XC382694,2017-07-26,Australia,"Cheynes Beach Caravan Park, Western Australia",-34.885,118.404,30,7,4651.2,4651.2
Acanthorhynchus tenuirostris,XC171972,2012-10-10,Australia,"Barren Grounds, New South Wales",-34.6695,150.7112,600,9,4651.2,4651.2
Acanthorhynchus tenuirostris,XC340221,2016-10-24,Australia,"Dunn's Swamp, Wollemi National Park, New South Wales",-32.8339,150.2047,650,27,4306.6,4306.6
Acanthorhynchus tenuirostris,XC380191,2017-07-17,Australia,"Barren Grounds, New South Wales",-34.6695,150.7112,600,19,3617.6,3617.6
Acanthorhynchus tenuirostris,XC390576,2017-10-15,Australia,"Burralow Creek Campground, Blue Mountains National Park, New South Wales",-33.5544,150.6035,320,52,5340.2,5340.2
Acanthorhynchus tenuirostris,XC104812,2010-09-00,Australia,"Mogo Creek, Yengo National Park, New South Wales",-33.166,151.065,240,13,5340.2,5340.2
Acridotheres albocinctus,XC390776,2010-11-14,China,"Near Nabang tank, Nabang, Yingjiang, Dehong Daizujingpozuzizhizhou, Yunnan Sheng",24.7052,97.932,800,124,3962.1,3962.1
Acridotheres cristatellus,XC207503,2014-11-28,Taiwan,"Wanhua District (near Taipei), Taipei City",25.0142,121.4971,10,25,3273,3273
Acridotheres cristatellus,XC361789,2017-03-25,Japan,"Seto River, Akashi-shi, Hyogo Prefecture",34.7012,134.8943,10,36,3445.3,3445.3
Acridotheres fuscus,XC347606,2016-12-02,India,"Panjim city, North Goa, Goa",15.488,73.8232,30,21,2756.2,2756.2
Acridotheres fuscus,XC368817,2017-04-27,Fiji,"Sabeto Road, Western Division",-17.7221,177.5027,30,126,3617.6,3617.6
Acridotheres fuscus,XC426271,2017-07-15,India,"Dindigul, Tamil Nadu",10.2725,77.4793,1800,10,2756.2,2756.2
Acridotheres ginginianus,XC95781,2011-12-04,India,naghnath road amreli,21.565,71.322,1,56,3789.8,3789.8
Acridotheres grandis,XC194938,2004-07-13,Thailand,"Lumpini Park, Bangkok, Bangkok",13.7316,100.5417,0,11,2928.5,2928.5
Acridotheres grandis,XC133769,2013-05-05,Cambodia,"Angkor Wat, Siem Reap",13.4125,103.867,40,26,3100.8,3100.8
Acridotheres grandis,XC303815,2015-12-27,Vietnam,"Lăk, Đắk Lắk",12.4022,108.1835,500,8,2239.5,2239.5
Acridotheres grandis,XC306367,2016-03-05,Thailand,"Thaton, Chiang Mai",20.0408,99.3444,440,43,3789.8,3789.8
Acridotheres grandis,XC359392,2017-01-26,Thailand,"Tambon Nai Mueang, Amphoe Mueang Nong Khai, Chang Wat Nong Khai",17.8839,102.7419,160,70,2756.2,2756.2
Acridotheres tristis,XC142966,2010-11-25,Madagascar,"Vohibinany, Toamasina",-18.5948,49.2149,30,50,2756.2,2756.2
Acridotheres tristis,XC73133,2011-03-13,India,"The Estate, Sultanpur, Delhi",28.494,77.159,200,53,3100.8,3100.8
Acridotheres tristis,XC93634,2012-01-24,Madagascar,"Lac Le Carat, Ambatofotsy, 20kms South of Antananarivo",-19.076,47.557,1270,46,2411.7,2411.7
Acridotheres tristis,XC102122,2012-05-20,USA,"Kendall, Miami-Dade Co., Florida",25.661,-80.361,10,108,2928.5,2928.5
Acridotheres tristis,XC183811,2014-05-13,Kazakhstan,"Kazminwody, Saryagash District, South Kazakhstan",41.3962,68.9969,360,181,2584,2584
Acrobatornis fonsecai,XC218185,2004-02-06,Brazil,"Itabuna area, Bahia",-14.83333333,-39.25,N/A,15,5340.2,5340.2
Acrobatornis fonsecai,XC5440,2005-10-22,Brazil,"Ibirataia, Bahia",-14.0776,-39.6056,175,8,5168,5168
Acrobatornis fonsecai,XC20272,2008-04-11,Brazil,"RPPN Serra Bonita, Camacan, BA",-15.3851,-39.5709,700,21,5340.2,5340.2
acrocephalus aedon,XC113400,2012-07-02,China,"Honghe National Nature Reserve, Heilongjiang",47.7356,133.6995,50,108,4478.9,4478.9
acrocephalus aedon,XC266176,2015-05-26,Russian Federation,"Sibirtsevo, Chernigovskiy rayon, Primorskiy kray",44.2051,132.4161,70,316,3617.6,3617.6
acrocephalus aedon,XC340013,2016-05-23,Russian Federation,Muraviovka Park,49.8699,127.6447,120,102,3445.3,3445.3
acrocephalus aedon,XC323743,2016-06-05,Mongolia,"Mungunmorit, Tov",48.0874,108.6585,1400,43,3273,3273
acrocephalus aedon,XC21209,2005-05-00,China,"Happy Island, Hebei",39.136452,118.830185,0,57,3445.3,3445.3
Acrocephalus agricola,XC120653,2007-06-04,Russian Federation,"Kunashaksky District, Chelyabinskaya oblast",55.8404,61.4778,180,45,4823.4,4823.4
Acrocephalus agricola,XC120418,2011-05-09,Kazakhstan,Bectoebe,52.4994,73.0913,172,74,4306.6,4306.6
Acrocephalus agricola,XC120435,2011-05-12,Kazakhstan,Astrakhanka,51.7822,77.4827,120,123,4478.9,4478.9
Acrocephalus agricola,XC295992,2014-05-06,Romania,"Comuna Mihai Viteazu, Județul Constanța",44.6238,28.8151,0,104,4995.7,4995.7
Acrocephalus agricola,XC182272,2014-05-18,Russian Federation,"Dombarovsky District, Orenburgskaya oblast",50.732,59.6352,280,20,5512.5,5512.5
Acrocephalus arundinaceus,XC241145,2015-05-09,Spain,"Pantà de Camelis, Torres de Segre, Catalonia",41.5392,0.4645,150,502,2928.5,2928.5
Acrocephalus arundinaceus,XC328405,2016-05-14,Poland,Biebrza National Park,53.3493,22.592,110,126,2756.2,2756.2
Acrocephalus arundinaceus,XC321211,2016-06-12,Netherlands,"Eibergen, Berkelland, Gelderland",52.115,6.5969,20,278,3273,3273
Acrocephalus arundinaceus,XC325359,2016-06-27,Russian Federation,"Nemanskiy rayon, Kaliningradskaya oblast'",55.0481,22.1758,10,48,3100.8,3100.8
Acrocephalus arundinaceus,XC325290,2016-07-03,Germany,"Oder-Spree (near Spreenhagen), Brandenburg",52.3373,13.8156,40,129,4134.4,4134.4
Acrocephalus australis,XC36412,2009-02-09,Australia,"Minnippi Wetlands, Brisbane",-27.4787,153.1106,50,32,3789.8,3789.8
Acrocephalus australis,XC96886,2011-12-19,Australia,"Deniliquin, NSW",-35.5287,144.9589,N/A,115,4823.4,4823.4
Acrocephalus australis,XC107971,2012-05-29,Australia,"Herdsman Lake, Perth",-31.929,115.804,5,78,3273,3273
Acrocephalus australis,XC149893,2013-10-06,Australia,"Jerrabombera Wetlands, Fyshwick, Australian Capital Territory",-35.3159,149.1591,550,56,4306.6,4306.6
Acrocephalus australis,XC340992,2016-10-24,Australia,"Dunn's Swamp, Wollemi National Park, New South Wales",-32.8339,150.2047,650,116,3273,3273
Acrocephalus baeticatus,XC129672,2011-11-08,Ethiopia,"Borena, Oromia",5.682,39.5319,1200,54,3789.8,3789.8
Acrocephalus baeticatus,XC278116,2011-12-09,Tanzania,"Mazimbu, Morogoro",-6.836,37.662,500,44,3273,3273
Acrocephalus baeticatus,XC195734,2014-08-18,South Africa,"Fiedler's Creek Camp, Orange River, South Africa",-28.6909,17.584,160,110,3273,3273
Acrocephalus baeticatus,XC307309,2015-12-27,South Africa,"Bushwillow Estate, Vaalkop Dam Nature Reserve, near Beestekraal, North West",-25.3071,27.449,1000,86,4651.2,4651.2
Acrocephalus baeticatus,XC338900,2016-09-18,Zambia,"Lake Mweru around Chabilikila, Luapula province",-9.546,28.691,N/A,55,4478.9,4478.9
Acrocephalus bistrigiceps,XC114221,2012-07-03,China,"Fujin Hei Yupao National Wetlands Park, Heilongjiang",46.9289,131.7158,60,122,4995.7,4995.7
Acrocephalus bistrigiceps,XC182943,2014-05-31,China,"Wyun River, Beijing",40.0742,116.4975,30,28,6718.4,6718.4
Acrocephalus bistrigiceps,XC266167,2015-05-27,Russian Federation,"Khasanskiy rayon, Primorskiy kray",42.5275,130.692,130,222,4134.4,4134.4
Acrocephalus bistrigiceps,XC286290,2015-06-03,Japan,"Kiritappu area, Hokkaido",43.079403,145.137933,N/A,60,4306.6,4306.6
Acrocephalus bistrigiceps,XC340271,2016-06-05,Russian Federation,Muraviovka Park,49.8699,127.6447,120,170,6373.8,6373.8
Acrocephalus brevipennis,XC156923,2005-01-16,Cape Verde,"Assomada, Santa Catarina",15.0418,-23.6024,550,55,2411.7,2411.7
Acrocephalus brevipennis,XC164037,2013-03-13,Cape Verde,Praia,14.9379,-23.4891,90,26,1894.9,1894.9
Acrocephalus brevipennis,XC318923,2016-03-25,Cape Verde,"Barragem de Poliao, São Lourenço dos Órgãos",15.0722,-23.5601,120,30,1894.9,1894.9
Acrocephalus brevipennis,XC314869,2016-04-28,Cape Verde,"Jardim Botanico, Ilhas de Sotavento",15.0484,-23.6036,360,16,3100.8,3100.8
Acrocephalus concinens,XC61386,2010-05-24,China,Hunan province Hu Ping Shan,30.112,110.797,1800,56,3962.1,3962.1
Acrocephalus concinens,XC292608,2015-11-13,India,"Makunda Christian Hospital, Karimganj, Assam",24.432,92.3307,50,14,5857,5857
Acrocephalus dumetorum,XC136082,2013-06-02,Norway,"Sørumsneset, Skedsmo, Akershus",59.9443,11.0754,110,173,5512.5,5512.5
Acrocephalus dumetorum,XC277653,2015-05-22,Kazakhstan,"Akkol lake, Zhambyl province",43.4142,70.6414,400,88,4651.2,4651.2
Acrocephalus dumetorum,XC319989,2016-06-04,Poland,"Bielsk Podlaski (near Ogrodniki), bielski, podlaskie",52.7758,23.298,140,439,4995.7,4995.7
Acrocephalus dumetorum,XC320971,2016-06-11,Netherlands,"polder de Robbenjager, Texel, Noord-Holland",53.1791,4.8634,0,281,3962.1,3962.1
Acrocephalus dumetorum,XC345787,2016-06-12,Sweden,"Hagby ekopark, Täby, Stockholms län",59.481,18.0129,10,575,2756.2,2756.2
Acrocephalus gracilirostris,XC41451,2003-12-05,Zambia,South Luangwa National Park Home,-13.1834,31.7501,510,31,2239.5,2239.5
Acrocephalus gracilirostris,XC252087,2014-10-14,South Africa,"Middelburg, Eastern Cape",-31.5171,25.0399,1200,46,2067.2,2067.2
Acrocephalus gracilirostris,XC279767,2014-11-06,South Africa,"Wakkerstroom area, Kwazulu-Natal",-27.34001,30.143103,N/A,63,2584,2584
Acrocephalus gracilirostris,XC277997,2014-12-27,Ethiopia,Lake Ziway,7.925,38.7278,1600,39,2411.7,2411.7
Acrocephalus gracilirostris,XC365346,2015-06-07,Malawi,"Liwonde NP opposite Mvuu camp, Balaka, Southern Region",-14.8434,35.2903,480,55,2411.7,2411.7
Acrocephalus griseldis,XC347294,2008-04-09,Kuwait,Sabad Al-Ahmad Natural Reserve,29.5608,47.7639,60,33,2928.5,2928.5
Acrocephalus griseldis,XC183951,2014-03-23,Mozambique,"Cheringoma, Sofala",-18.114,34.9796,20,79,1894.9,1894.9
Acrocephalus melanopogon,XC106948,2012-03-19,Italy,"Braccagni, Grosseto",42.8776,11.0464,30,73,4306.6,4306.6
Acrocephalus melanopogon,XC213784,2015-02-10,Kuwait,Jahara pool reserve,47.696,47.696,0,75,3273,3273
Acrocephalus melanopogon,XC310529,2016-04-03,Poland,"Spytkowice, pow.wadowicki, woj.małopolskie",49.9986,19.475,220,37,4134.4,4134.4
Acrocephalus melanopogon,XC253273,2016-05-22,Kazakhstan,"Akkol lake, Zhambyl province",43.4142,70.6414,400,157,3789.8,3789.8
Acrocephalus melanopogon,XC422660,2018-04-02,France,"Saint-Martin-de-Crau, Bouches-du-Rhone, Provence-Alpes-Côte d'Azur",43.5925,4.7925,10,131,4651.2,4651.2
Acrocephalus newtoni,XC142952,2010-11-22,Madagascar,"Moramanga, Toamasina",-18.9533,48.4117,950,52,2928.5,2928.5
Acrocephalus newtoni,XC91698,2011-11-01,Madagascar,"Ampijoroa Station, Ankarafonsika NP, Mahajanga Prov.",-16.3051,46.812,100,59,3962.1,3962.1
Acrocephalus newtoni,XC163101,2013-11-13,Madagascar,Tulear plains,-23.4268,43.7463,0,35,3100.8,3100.8
Acrocephalus newtoni,XC162418,2013-12-15,Madagascar,"Mananara Lodge, Anjozorobe",-18.449,47.937,1300,44,2756.2,2756.2
Acrocephalus newtoni,XC296791,2015-12-16,Madagascar,"Lake Kinkony, Mitsinjo, Mahajanga",-16.1542,45.8375,10,37,2756.2,2756.2
Acrocephalus orinus,XC325129,2011-06-22,Tajikistan,"Ishkoshim, Gorno-Badakhshan Autonomous Province",36.9166,72.185,2700,183,3273,3273
Acrocephalus orinus,XC197913,2014-06-08,Tajikistan,"Eshkashem, Ishkashim, Badakhshan",36.8279,71.557,2500,55,4134.4,4134.4
Acrocephalus paludicola,XC105381,2012-07-04,Poland,Pond Marshes (Torfowisko Staw),51.3459,23.3248,N/A,166,2756.2,2756.2
Acrocephalus paludicola,XC237017,2015-04-22,Austria,"Gemeinde Güssing (near Güssing), Güssing, Burgenland",47.0536,16.3156,220,93,4995.7,4995.7
Acrocephalus paludicola,XC245721,2015-05-20,Lithuania,"Nemunas Delta area, Lithuania",55.3617,21.2163,0,57,3789.8,3789.8
Acrocephalus paludicola,XC247695,2015-06-02,Poland,"Biebrza National Park, Podlaskie Voivodeship",53.3493,22.592,110,88,3273,3273
Acrocephalus palustris,XC320823,2014-06-09,Germany,"Egelsee S, near Hofstetten, Landsberg, Oberbayern, Bayern",47.9965,10.9647,650,257,3100.8,3100.8
Acrocephalus palustris,XC331218,2014-06-11,Ukraine,"Toky, Pidvolochys'kyi district, Ternopil's'ka oblast",49.634,26.2213,N/A,164,3789.8,3789.8
Acrocephalus palustris,XC319374,2016-05-26,Belgium,"Celles, Hainaut, Région wallonne",50.701,3.4085,20,139,5512.5,5512.5
Acrocephalus palustris,XC330755,2016-06-16,Sweden,"Hjälstaviken, Enköping",59.6585,17.3931,0,236,3962.1,3962.1
Acrocephalus palustris,XC325627,2016-06-23,Czech Republic,"Domanín, Jindřichův Hradec District, South Bohemian Region",48.9827,14.7454,440,237,4306.6,4306.6
Acrocephalus rufescens,XC58728,2009-11-21,Namibia,Mahango Game Park,-18.187,21.736,1000,45,2239.5,2239.5
Acrocephalus rufescens,XC48354,2010-03-20,Rwanda,"Lake Bulera, Musanze",-1.392,29.77,1780,31,1550.4,1550.4
Acrocephalus rufescens,XC206380,2014-12-13,Cameroon,"Obala, Centre",4.1889,11.5388,550,53,1722.7,1722.7
Acrocephalus rufescens,XC312775,2016-04-17,Senegal,"Technopôle, Dakar",14.754,-17.411,0,31,1894.9,1894.9
Acrocephalus rufescens,XC338904,2016-09-17,Zambia,"Chabilikila area, Luapula province",-9.509,28.736,N/A,52,2067.2,2067.2
Acrocephalus scirpaceus,XC337419,2015-06-13,Italy,"Piombino, Provincia di Livorno, Toscana",42.9754,10.6348,0,188,3789.8,3789.8
Acrocephalus scirpaceus,XC334318,2015-07-12,Czech Republic,"Svatý Mikuláš, Kutná Hora District, Central Bohemian Region",49.9979,15.3874,200,42,4478.9,4478.9
Acrocephalus scirpaceus,XC320322,2016-06-06,Switzerland,"Hägendorf, Olten, Solothurn",47.3388,7.8398,500,294,3100.8,3100.8
Acrocephalus scirpaceus,XC322545,2016-06-19,Germany,"Dahme-Spreewald (Dolgensee), Brandenburg",52.2541,13.732,40,68,3273,3273
Acrocephalus scirpaceus,XC330311,2016-07-03,United Kingdom,"Llanelli Rural (near Llanelli), Carmarthenshire, Wales",51.6663,-4.1234,10,95,3100.8,3100.8
Acrocephalus schoenobaenus,XC319673,2015-05-13,Germany,"Steinburg (near Büttel), Schleswig-Holstein",53.8938,9.2256,0,144,4823.4,4823.4
Acrocephalus schoenobaenus,XC317838,2016-05-20,Czech Republic,"Nové Mlýny middle reservoir, South Moravia",48.9062,16.5926,170,37,4651.2,4651.2
Acrocephalus schoenobaenus,XC320683,2016-05-24,Sweden,"Asköviken, Västerås",59.5157,16.4603,10,249,4478.9,4478.9
Acrocephalus schoenobaenus,XC327956,2016-06-30,Latvia,"Nereta, Neretas pagasts, Nereta Municipality",56.1925,25.3398,80,61,5512.5,5512.5
Acrocephalus schoenobaenus,XC332746,2016-08-01,Ireland,"Inishbofin, County Galway",53.6161,-10.1873,20,97,5684.8,5684.8
Acrocephalus stentoreus,XC103705,2012-05-16,Egypt,Sandafa Al Far,28.531,30.673,40,68,2928.5,2928.5
Acrocephalus stentoreus,XC292607,2014-01-12,Saudi Arabia,"Al Jubail, Eastern Province",27.0613,49.4986,10,64,2239.5,2239.5
Acrocephalus stentoreus,XC190969,2014-04-03,Sri Lanka,Bundala National Park,6.1702,81.2054,10,66,4478.9,4478.9
Acrocephalus stentoreus,XC321245,2015-03-25,Israel,"Bik'at Beit She'an (near Kfar Ruppin), North District",32.4491,35.555,-250,46,4995.7,4995.7
Acrocephalus stentoreus,XC321146,2016-05-28,Philippines,Bislig Airport,8.198,126.3252,10,61,3445.3,3445.3
Acrocephalus tangorum,XC21212,2005-05-00,China,"Beidaihe, Hebei",39.85583,119.41472,10,52,4306.6,4306.6
Acropternis orthonyx,XC248693 ,1993-02-21,Ecuador,Pichincha: Pasochoa,-0.459,-78.511,3260,91,2239.5,2239.5
Acropternis orthonyx,XC62337,2010-07-02,Ecuador,"Bellavista, Pichincha",-0.0181,-78.6834,2200,104,2584,2584
Acropternis orthonyx,XC121142,2013-02-02,Ecuador,"Acanama, Loja",-3.6795,-79.2376,3000,147,2411.7,2411.7
Acropternis orthonyx,XC301259,2014-12-13,Colombia,"Serranía las Baldías, San Félix, Bello, Antioquia",6.3327,-75.6515,3100,78,2239.5,2239.5
Acropternis orthonyx,XC316451,2016-04-13,Colombia,"Los Nevados NP, above Manizales, Caldas, C Andes",5.005,-75.327,3600,93,2411.7,2411.7
Actinodura egertoni,XC18950,2006-04-10,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2300,23,2928.5,2928.5
Actinodura egertoni,XC80658,2011-03-23,India,"Lama Camp, Arunachal Pradesh",27.1567,92.4606,2100,11,2928.5,2928.5
Actinodura egertoni,XC314175,2016-03-30,Myanmar,"Mindat, Chin State",21.2208,93.975,2000,49,3100.8,3100.8
Actinodura morrisoniana,XC428941,2018-06-30,Taiwan,"Blue Gate Trail, nr Renai Township, Nantou County",24.0976,121.1806,2200,56,5857,5857
Actinodura nipalensis,XC78525,2011-04-17,India,"Eaglenest Wildlife Sanctuary, Arunachal Pradesh",27.1001,92.4001,2500,47,2067.2,2067.2
Actinodura nipalensis,XC115167,2012-11-17,Bhutan,Sengor,27.362,91.0286,3000,16,1894.9,1894.9
Actinodura nipalensis,XC256780,2015-06-07,Bhutan,Sengor,27.4303,90.5383,2900,35,2928.5,2928.5
Actinodura ramsayi,XC69931,2005-06-26,Thailand,"Doi Inthanon, Km 37 jeep track",18.6001,98.5001,2045,40,2584,2584
Actinodura ramsayi,XC156841,2010-03-29,Vietnam,"O Quy Ho Road, Sa Pa",22.3767,103.7933,1800,20,2584,2584
Actinodura ramsayi,XC89831,2011-01-21,Myanmar,"Yay Aye Forest Reserve, near Kalau",20.6017,96.5328,1425,49,2411.7,2411.7
Actinodura ramsayi,XC95531,2012-01-30,Thailand,"Doi Chiang Dao, near summit",19.387,98.863,1500,17,2411.7,2411.7
Actinodura ramsayi,XC154703,2012-03-26,Thailand,Doi Inthanon National Park,18.5266,98.4999,1700,32,2411.7,2411.7
Actinodura sodangorum,XC41932,2009-11-07,Vietnam,Lo Xo pass,15.2334,107.7501,1300,40,2067.2,2067.2
Actinodura sodangorum,XC125319,2013-01-11,Vietnam,Lo Xo pass,15.2334,107.7501,1100,68,2067.2,2067.2
Actinodura sodangorum,XC65032,2010-05-00,Vietnam,Lo Xo pass,15.2334,107.7501,1600,38,2239.5,2239.5
Actinodura souliei,XC315817,2016-05-10,China,"Puer Shi, Yunnan Sheng",24.5875,101.012,2600,25,2239.5,2239.5
Actinodura souliei,XC399528,2017-04-22,China,"Longcanggou, Yingjing, Sichuan",29.6017,102.8978,1800,212,2067.2,2067.2
Actinodura souliei,XC399525,2017-06-20,China,"Hailuogou, Minya Konka, Sichuan",29.6342,102.0901,2800,31,2239.5,2239.5
Actinodura waldeni,XC22042,2006-03-24,India,"Yingkiong, Arunachal Pradesh",28.6333495,94.9747467,N/A,60,2756.2,2756.2
Actinodura waldeni,XC35549,2009-02-13,India,"Lama Camp, Arunachal Pradesh",27.1567,92.4606,N/A,32,2239.5,2239.5
Actinodura waldeni,XC263795,2013-11-17,Myanmar,Mount Victoria,21.2333,93.9167,2800,38,3100.8,3100.8
