"source","id","Title","taxon","file","author","post_date","size","size_raw","type","NonSpecimen","Date","Time","Duration"
"ColinBirds","Site1-A-sd_card-BG08_20171230_200000","","","Site1/A-sd_card/Data01a/BG08_20171230_200000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171230_203000","","","Site1/A-sd_card/Data01a/BG08_20171230_203000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171230_210000","","","Site1/A-sd_card/Data01a/BG08_20171230_210000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171230_213000","","","Site1/A-sd_card/Data01a/BG08_20171230_213000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171230_220000","","","Site1/A-sd_card/Data01a/BG08_20171230_220000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171230_223000","","","Site1/A-sd_card/Data01a/BG08_20171230_223000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171230_230000","","","Site1/A-sd_card/Data01a/BG08_20171230_230000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171230_233000","","","Site1/A-sd_card/Data01a/BG08_20171230_233000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_000000","","","Site1/A-sd_card/Data01a/BG08_20171231_000000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_003000","","","Site1/A-sd_card/Data01a/BG08_20171231_003000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_010000","","","Site1/A-sd_card/Data01a/BG08_20171231_010000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_013000","","","Site1/A-sd_card/Data01a/BG08_20171231_013000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_020000","","","Site1/A-sd_card/Data01a/BG08_20171231_020000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_023000","","","Site1/A-sd_card/Data01a/BG08_20171231_023000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_030000","","","Site1/A-sd_card/Data01a/BG08_20171231_030000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_033000","","","Site1/A-sd_card/Data01a/BG08_20171231_033000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_040000","","","Site1/A-sd_card/Data01a/BG08_20171231_040000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_043000","","","Site1/A-sd_card/Data01a/BG08_20171231_043000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_050000","","","Site1/A-sd_card/Data01a/BG08_20171231_050000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_053000","","","Site1/A-sd_card/Data01a/BG08_20171231_053000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_060000","","","Site1/A-sd_card/Data01a/BG08_20171231_060000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_063000","","","Site1/A-sd_card/Data01a/BG08_20171231_063000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_070000","","","Site1/A-sd_card/Data01a/BG08_20171231_070000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_073000","","","Site1/A-sd_card/Data01a/BG08_20171231_073000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_080000","","","Site1/A-sd_card/Data01a/BG08_20171231_080000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_083000","","","Site1/A-sd_card/Data01a/BG08_20171231_083000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_090000","","","Site1/A-sd_card/Data01a/BG08_20171231_090000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_093000","","","Site1/A-sd_card/Data01a/BG08_20171231_093000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_100000","","","Site1/A-sd_card/Data01a/BG08_20171231_100000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_103000","","","Site1/A-sd_card/Data01a/BG08_20171231_103000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_110000","","","Site1/A-sd_card/Data01a/BG08_20171231_110000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_113000","","","Site1/A-sd_card/Data01a/BG08_20171231_113000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_120000","","","Site1/A-sd_card/Data01a/BG08_20171231_120000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_123000","","","Site1/A-sd_card/Data01a/BG08_20171231_123000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_130000","","","Site1/A-sd_card/Data01a/BG08_20171231_130000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_133000","","","Site1/A-sd_card/Data01a/BG08_20171231_133000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_140000","","","Site1/A-sd_card/Data01a/BG08_20171231_140000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
"ColinBirds","Site1-A-sd_card-BG08_20171231_143000","","","Site1/A-sd_card/Data01a/BG08_20171231_143000.wav","ColinBirds","","",NA,"audio/x-wave","Soundscape","","","300"
